,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geometry,geo_id,2017_2012_median_income,2017_2012_owner_occupied_housing_units_median_value,2017_2012_median_rent,2017_2012_income_dist,2017_2012_edu_dist,2017_2012_white_pop,2017_2012_other_races,2017_2012_commuters_by_public_transportation,2017_2012_income_per_capita,2017_2012_housing_units,2017_2012_vacant_housing_units,2017_2012_bachelors_degree,2012_2011_median_income,2012_2011_owner_occupied_housing_units_median_value,2012_2011_median_rent,2012_2011_income_dist,2012_2011_white_pop,2012_2011_other_races,2012_2011_commuters_by_public_transportation,2012_2011_income_per_capita,2012_2011_housing_units,2012_2011_vacant_housing_units,2018_2014_EP_POV,2018_2014_EP_UNEMP,2018_2014_EP_SNGPNT,2018_2014_EP_MINRTY,2018_2014_EP_MUNIT,2018_2014_EP_MOBILE,2018_2014_EP_CROWD,gentrified,gentrification_label,lagged_spatial_income,lagged_home_value,lagged_spatial_rent,lagged_income_dist,lagged_white_pop,lagged_other_races,lagged_public_commute,lagged_income_per_capita,lagged_housing_units,lagged_vacant_housing_units,prediction
0,36,081,044800,36081044800,448,Census Tract 448,G5020,S,208002,0,+40.7110219,-073.8026344,"POLYGON ((-73.80645699999999 40.712056, -73.80555799999999 40.712168, -73.80466799999999 40.712279, -73.803776 40.71239, -73.802593 40.712539, -73.801384 40.712674, -73.802111 40.713926, -73.80122799999999 40.714223, -73.80082899999999 40.713575, -73.800394 40.712941, -73.799272 40.711376, -73.79870099999999 40.710663, -73.799858 40.710253, -73.801069 40.709818, -73.80118999999999 40.709786, -73.801306 40.709742, -73.80141399999999 40.709687, -73.80151099999999 40.709622, -73.801596 40.709548, -73.80193299999999 40.708912, -73.802125 40.708738, -73.802331 40.708572, -73.80255099999999 40.708417, -73.80278199999999 40.708273, -73.80302399999999 40.70814, -73.803276 40.708412, -73.803392 40.708531, -73.803518 40.708639, -73.80367 40.708743, -73.80390199999999 40.708874, -73.80399299999999 40.708917, -73.804101 40.708952, -73.80416799999999 40.708984, -73.804841 40.709338, -73.80501199999999 40.709473, -73.805482 40.710089, -73.80557999999999 40.710237, -73.80626599999999 40.711254, -73.80645699999999 40.712056))",36081044800,-11203.740000000005,495102.0,635.6999999999998,0.037867911704554086,-0.0832215075419462,-3409,2581,670,-8190.0,-778,31,-73.0,-7063.259999999995,-26378.0,999.0,-0.4354881174382772,3215,-1636,-30,76.0,846,38,-17.099999999999998,-23.5,2.5999999999999996,-93.3,-82.29999999999998,0.0,-21.8,False,0,-32822.854,-105452.78199999998,-299.94399999999996,-0.23605616559845766,-62.19999999999996,-561.0,-104.60000000000001,-9491.199999999999,480.6000000000001,380.8,0.2545951871087105
1,36,081,045800,36081045800,458,Census Tract 458,G5020,S,245281,0,+40.7152626,-073.7909261,"POLYGON ((-73.79363599999999 40.713819, -73.793621 40.713975, -73.79358599999999 40.714129, -73.793532 40.714277, -73.79346 40.714419, -73.793149 40.71493299999999, -73.792687 40.71568, -73.79240399999999 40.716193, -73.79234099999999 40.716463, -73.79226799999999 40.717284, -73.792242 40.717427, -73.792185 40.717611, -73.792109 40.717792, -73.79201399999999 40.717968, -73.791901 40.718136, -73.79173299999999 40.71832, -73.791628 40.718418, -73.79151399999999 40.71850999999999, -73.79139099999999 40.718595, -73.791263 40.718669, -73.79109 40.71877, -73.790896 40.718876, -73.79061899999999 40.718905, -73.790454 40.718913, -73.7902 40.718926, -73.789823 40.718922, -73.78944899999999 40.718896, -73.78884099999999 40.718736, -73.788594 40.718624, -73.788389 40.718504, -73.788262 40.718414, -73.78810199999999 40.718279, -73.787916 40.718077, -73.787819 40.717941, -73.78775899999999 40.717838, -73.787892 40.717705, -73.788039 40.71758, -73.78819799999999 40.717463, -73.78836699999999 40.717356, -73.788546 40.717259, -73.788471 40.717079, -73.78841199999999 40.716894, -73.788372 40.71670599999999, -73.788349 40.716516, -73.788344 40.716326, -73.78835599999999 40.716137, -73.788417 40.715763, -73.78878499999999 40.715258, -73.789264 40.714704, -73.78980299999999 40.714422, -73.790054 40.714319, -73.790312 40.714226, -73.790578 40.71414499999999, -73.79084899999999 40.714077, -73.791871 40.713793, -73.79140199999999 40.713021, -73.79133899999999 40.712921, -73.791259 40.712825, -73.791162 40.712737, -73.791049 40.712658, -73.79092399999999 40.712591, -73.790789 40.712538, -73.790649 40.712499, -73.79050699999999 40.712475, -73.78920599999999 40.712582, -73.78908899999999 40.712579, -73.788972 40.71256, -73.788859 40.712525, -73.78875599999999 40.712476, -73.788668 40.712414, -73.788597 40.712344, -73.78865399999999 40.712337, -73.78870999999999 40.712325, -73.788764 40.712307, -73.788814 40.712285, -73.78886 40.712258, -73.78890199999999 40.712227, -73.788939 40.712193, -73.78896999999999 40.712155, -73.788994 40.712115, -73.789012 40.712073, -73.789413 40.711998, -73.790215 40.711717, -73.79101399999999 40.711433, -73.792029 40.71106899999999, -73.793038 40.710711, -73.792998 40.711581, -73.79300599999999 40.711765, -73.793027 40.711981, -73.793069 40.712196, -73.793132 40.712407, -73.79321399999999 40.712608, -73.793502 40.713213, -73.79356299999999 40.713358, -73.79360699999999 40.713508, -73.793632 40.713663, -73.79363599999999 40.713819))",36081045800,-8801.659999999996,465607.0,625.0500000000001,-0.09648527784808161,-0.07843109539767895,-4580,1979,646,731.0,-1350,-67,143.0,42186.78,95493.0,380.35,-0.06920992329029185,610,-39,3,10250.0,-314,-323,-16.9,-11.899999999999999,-3.1999999999999993,-94.4,-91.3,31.4,-23.0,False,0,-9065.91333333333,-77619.49999999999,57.61833333333337,-0.07691958899642126,-105.66666666666666,-158.83333333333334,27.33333333333333,-4337.833333333334,57.33333333333334,20.666666666666668,0.7683117260198642
2,36,081,046200,36081046200,462,Census Tract 462,G5020,S,249611,0,+40.7098547,-073.7879749,"POLYGON ((-73.792029 40.71106899999999, -73.79101399999999 40.711433, -73.790215 40.711717, -73.789413 40.711998, -73.789012 40.712073, -73.78895899999999 40.712072, -73.78887499999999 40.712067, -73.788786 40.712059, -73.78864 40.712036, -73.788524 40.71201, -73.78843499999999 40.711985, -73.787847 40.711811, -73.787413 40.711849, -73.786996 40.71190199999999, -73.786575 40.711972, -73.78616 40.71206, -73.785752 40.712164, -73.785353 40.712284, -73.78502899999999 40.711571, -73.78472099999999 40.710922, -73.78445599999999 40.710373, -73.78440999999999 40.710277, -73.78530499999999 40.710063, -73.785037 40.709502, -73.78429 40.70793099999999, -73.784813 40.707932, -73.785562 40.707936, -73.78577 40.707934, -73.786739 40.707892, -73.787719 40.707661, -73.78804 40.707571, -73.788691 40.707468, -73.78957 40.707222, -73.78975 40.707171, -73.79065299999999 40.708726, -73.791144 40.709566, -73.7916 40.710344, -73.792029 40.71106899999999))",36081046200,16139.150000000001,391545.0,773.5699999999999,-0.18445051918203093,0.053082418937227926,-3183,5856,2035,-5151.0,-613,-166,494.0,-5846.389999999999,-17270.999999999985,187.93000000000006,0.12467259353494822,-5605,1664,132,2394.0,-1033,63,-4.399999999999999,-7.1,-4.1,-85.5,-87.4,0.0,-16.900000000000002,True,1,-4140.1199999999935,-11113.85714285713,107.1614285714286,-0.12732764784184114,-912.142857142857,-472.71428571428567,11.285714285714285,-3174.0000000000005,-493.7142857142858,-41.42857142857143,0.8966223659578713
3,36,081,046300,36081046300,463,Census Tract 463,G5020,S,159415,0,+40.7440007,-073.8710900,"POLYGON ((-73.874685 40.74334899999999, -73.87422599999999 40.743955, -73.87377099999999 40.74454799999999, -73.873305 40.745151, -73.87284 40.745756, -73.872384 40.746347, -73.87194599999999 40.746908, -73.87191799999999 40.746782, -73.871771 40.746104, -73.871595 40.745325, -73.87156899999999 40.7452, -73.871363 40.744271, -73.87082599999999 40.744558, -73.870127 40.744991, -73.869288 40.745242, -73.86808599999999 40.745601, -73.86790999999999 40.744934, -73.867893 40.744752, -73.867851 40.744717, -73.867678 40.744042, -73.867491 40.743302, -73.870362 40.74250199999999, -73.870593 40.742379, -73.87142 40.742412, -73.872373 40.742454, -73.873485 40.742501, -73.873997 40.742892, -73.874505 40.743311, -73.874658 40.743268, -73.874685 40.74334899999999))",36081046300,-8269.559999999998,311925.99999999994,221.94000000000005,-0.08325545430554632,-0.011053249237555934,-1053,1140,983,-2212.0,-401,-93,140.0,24195.760000000002,182994.00000000006,466.52,-0.11957414204588393,1041,-1237,211,9697.0,383,117,4.900000000000002,0.6999999999999993,3.4000000000000004,-60.89999999999998,-78.0,1.2,-14.0,False,0,-10884.158571428568,-21295.714285714268,326.7057142857143,-0.10919385284141615,-808.8571428571428,84.57142857142856,33.714285714285715,-5153.428571428571,-176.28571428571425,11.571428571428584,0.4734492884083043
4,36,081,046400,36081046400,464,Census Tract 464,G5020,S,228767,0,+40.7168637,-073.7869958,"POLYGON ((-73.791871 40.713793, -73.79084899999999 40.714077, -73.790578 40.71414499999999, -73.790312 40.714226, -73.790054 40.714319, -73.78980299999999 40.714422, -73.789264 40.714704, -73.78878499999999 40.715258, -73.788417 40.715763, -73.78835599999999 40.716137, -73.788344 40.716326, -73.788349 40.716516, -73.788372 40.71670599999999, -73.78841199999999 40.716894, -73.788471 40.717079, -73.788546 40.717259, -73.78836699999999 40.717356, -73.78819799999999 40.717463, -73.788039 40.71758, -73.787892 40.717705, -73.78775899999999 40.717838, -73.787819 40.717941, -73.787916 40.718077, -73.78810199999999 40.718279, -73.788262 40.718414, -73.788389 40.718504, -73.788594 40.718624, -73.78884099999999 40.718736, -73.78944899999999 40.718896, -73.789823 40.718922, -73.7902 40.718926, -73.790454 40.718913, -73.79061899999999 40.718905, -73.790896 40.718876, -73.790769 40.719134, -73.790708 40.719269, -73.78975 40.719271, -73.789321 40.71927, -73.78887 40.719287, -73.78864 40.719306, -73.78816399999999 40.719379, -73.78773199999999 40.719471, -73.78740499999999 40.719542, -73.787103 40.719603, -73.78498999999999 40.719972, -73.78501399999999 40.719822, -73.78505299999999 40.719584, -73.784346 40.719676, -73.78426499999999 40.71932, -73.78417 40.718965, -73.78406 40.718613, -73.783936 40.718264, -73.78379799999999 40.717918, -73.78346499999999 40.71711699999999, -73.783141 40.716434, -73.783402 40.716432, -73.783661 40.716418, -73.783919 40.716393, -73.78417499999999 40.716356, -73.78446099999999 40.716305, -73.78474299999999 40.71624, -73.78501899999999 40.716159, -73.785287 40.716065, -73.785545 40.715958, -73.78578 40.715854, -73.786007 40.715737, -73.78622399999999 40.71561, -73.786429 40.715472, -73.786621 40.715325, -73.78681 40.715171, -73.786985 40.715008, -73.787145 40.714835, -73.787288 40.714655, -73.787368 40.714527, -73.787441 40.714391, -73.787475 40.714251, -73.787499 40.714107, -73.787502 40.713962, -73.787485 40.713819, -73.787448 40.71368, -73.78783 40.713593, -73.788218 40.713523, -73.788611 40.71347, -73.789008 40.713435, -73.789405 40.713418, -73.78974699999999 40.713385, -73.790087 40.713339, -73.790424 40.713279, -73.790756 40.713206, -73.790916 40.713164, -73.79140199999999 40.713021, -73.791871 40.713793))",36081046400,22743.78,519311.0,831.68,0.14849642425749626,0.027377973189717783,-4709,807,391,558.0,-2161,-126,-863.0,4594.380000000005,-107959.0,-389.9,0.011566975997397241,3374,288,20,4391.0,1680,-3,1.5999999999999996,-2.1000000000000005,6.199999999999999,16.099999999999998,0.5,1.5,2.5,False,0,26428.710000000006,106350.22714285715,197.9735714285715,0.016150292177561233,458.5714285714287,-139.42857142857144,104.78571428571428,18682.857142857145,330.49999999999994,83.85714285714286,0.07681969851060981
5,36,081,046500,36081046500,465,Census Tract 465,G5020,S,129758,0,+40.7469665,-073.8702981,"POLYGON ((-73.872373 40.748852, -73.871841 40.748906, -73.87135599999999 40.748957, -73.870379 40.749064, -73.86942499999999 40.749157, -73.869192 40.748763, -73.868914 40.748369, -73.868529 40.747588, -73.868438 40.747031, -73.86826499999999 40.746314, -73.86808599999999 40.745601, -73.869288 40.745242, -73.870127 40.744991, -73.87082599999999 40.744558, -73.871363 40.744271, -73.87156899999999 40.7452, -73.871595 40.745325, -73.871771 40.746104, -73.87191799999999 40.746782, -73.87194599999999 40.746908, -73.87196399999999 40.746984, -73.872068 40.747481, -73.87215499999999 40.747872, -73.87222 40.748157, -73.872373 40.748852))",36081046500,-19362.18,570326.0,600.65,0.053051795307408056,0.09649244591483724,-4492,974,1095,-8362.0,-1883,-122,-315.0,11871.440000000002,66874.0,-0.12999999999999545,-0.004185296767512281,2263,-1240,-37,373.0,250,28,4.100000000000001,-2.5,8.3,-35.4,-98.0,0.7,-4.699999999999999,False,0,-1741.7199999999962,-77872.66666666664,347.3283333333333,-0.10778429612149311,1375.3333333333333,-216.66666666666669,50.166666666666664,-4660.0,500.83333333333337,1.8333333333333357,0.8561426359641995
6,36,081,046600,36081046600,466,Census Tract 466,G5020,S,240535,0,+40.7140095,-073.7851000,"POLYGON ((-73.79140199999999 40.713021, -73.790916 40.713164, -73.790756 40.713206, -73.790424 40.713279, -73.790087 40.713339, -73.78974699999999 40.713385, -73.789405 40.713418, -73.789008 40.713435, -73.788611 40.71347, -73.788218 40.713523, -73.78783 40.713593, -73.787448 40.71368, -73.787485 40.713819, -73.787502 40.713962, -73.787499 40.714107, -73.787475 40.714251, -73.787441 40.714391, -73.787368 40.714527, -73.787288 40.714655, -73.787145 40.714835, -73.786985 40.715008, -73.78681 40.715171, -73.786621 40.715325, -73.786429 40.715472, -73.78622399999999 40.71561, -73.786007 40.715737, -73.78578 40.715854, -73.785545 40.715958, -73.785287 40.716065, -73.78501899999999 40.716159, -73.78474299999999 40.71624, -73.78446099999999 40.716305, -73.78417499999999 40.716356, -73.783919 40.716393, -73.783661 40.716418, -73.783402 40.716432, -73.783141 40.716434, -73.78281199999999 40.71641899999999, -73.782484 40.716387, -73.782158 40.716338, -73.78183899999999 40.716273, -73.781527 40.71619099999999, -73.78160099999999 40.716032, -73.78165299999999 40.715865, -73.781683 40.715691, -73.781689 40.715514, -73.78166999999999 40.715336, -73.781627 40.71516099999999, -73.78154499999999 40.714967, -73.781469 40.71483, -73.78135999999999 40.71468, -73.781234 40.714541, -73.78058899999999 40.713428, -73.78178299999999 40.71314, -73.782366 40.713003, -73.782625 40.712938, -73.78356099999999 40.712711, -73.78446099999999 40.712494, -73.785353 40.712284, -73.785752 40.712164, -73.78616 40.71206, -73.786575 40.711972, -73.786996 40.71190199999999, -73.787413 40.711849, -73.787847 40.711811, -73.78843499999999 40.711985, -73.788524 40.71201, -73.78864 40.712036, -73.788786 40.712059, -73.78887499999999 40.712067, -73.78895899999999 40.712072, -73.789012 40.712073, -73.788994 40.712115, -73.78896999999999 40.712155, -73.788939 40.712193, -73.78890199999999 40.712227, -73.78886 40.712258, -73.788814 40.712285, -73.788764 40.712307, -73.78870999999999 40.712325, -73.78865399999999 40.712337, -73.788597 40.712344, -73.788668 40.712414, -73.78875599999999 40.712476, -73.788859 40.712525, -73.788972 40.71256, -73.78908899999999 40.712579, -73.78920599999999 40.712582, -73.79050699999999 40.712475, -73.790649 40.712499, -73.790789 40.712538, -73.79092399999999 40.712591, -73.791049 40.712658, -73.791162 40.712737, -73.791259 40.712825, -73.79133899999999 40.712921, -73.79140199999999 40.713021))",36081046600,7102.379999999997,125922.0,711.7499999999999,0.10321103363913225,-0.013929378763467726,352,15,852,20157.0,97,-265,449.0,14942.380000000005,-49368.0,252.5300000000001,-0.08325475187578041,-1928,1985,-66,-1261.0,-210,78,0.5,-7.800000000000001,-0.40000000000000036,-34.6,-96.5,7.4,0.0,False,0,6504.385000000004,-102522.25,49.08000000000007,0.0828711333144464,310.75,1275.75,44.0,-4322.75,731.75,78.75,0.13053413867525493
7,36,081,046700,36081046700,467,Census Tract 467,G5020,S,141858,0,+40.7454564,-073.8745856,"POLYGON ((-73.878242 40.742397, -73.87768299999999 40.743061, -73.877211 40.743661, -73.876746 40.744265, -73.876282 40.744869, -73.875827 40.745461, -73.875362 40.746066, -73.87489599999999 40.74666999999999, -73.874442 40.747262, -73.87397799999999 40.747865, -73.873513 40.748468, -73.87330299999999 40.748758, -73.87277399999999 40.748813, -73.872373 40.748852, -73.87222 40.748157, -73.87215499999999 40.747872, -73.872068 40.747481, -73.87196399999999 40.746984, -73.87194599999999 40.746908, -73.872384 40.746347, -73.87284 40.745756, -73.873305 40.745151, -73.87377099999999 40.74454799999999, -73.87422599999999 40.743955, -73.874685 40.74334899999999, -73.874658 40.743268, -73.875671 40.74297, -73.87675999999999 40.742646, -73.878479 40.742151, -73.878242 40.742397))",36081046700,-41473.45,-66905.0,43.909999999999854,-0.043675035020491304,0.1616736697686103,-3359,4577,1667,-17816.0,-165,110,-309.0,18564.25,1259.0,208.67000000000007,0.16012820026080601,1584,-6,172,5094.0,678,41,-19.8,-9.0,-1.5,-86.8,-96.7,13.8,-9.6,False,0,34053.113750000004,133562.0,289.09000000000003,0.022336631294391254,608.125,-1226.875,-3.625,12864.375,80.125,296.125,0.37712163193476617
8,36,081,046800,36081046800,468,Census Tract 468,G5020,S,229419,0,+40.7104936,-073.7822789,"POLYGON ((-73.785353 40.712284, -73.78446099999999 40.712494, -73.78356099999999 40.712711, -73.782625 40.712938, -73.782366 40.713003, -73.78178299999999 40.71314, -73.78058899999999 40.713428, -73.780151 40.712083, -73.779855 40.711178, -73.779455 40.70994899999999, -73.779048 40.70871, -73.77968299999999 40.708596, -73.78035899999999 40.708464, -73.780554 40.708426, -73.78144999999999 40.708252, -73.781848 40.708175, -73.78237 40.708076, -73.78277199999999 40.708, -73.78295199999999 40.707982, -73.783305 40.707946, -73.783817 40.70793, -73.78429 40.70793099999999, -73.785037 40.709502, -73.78530499999999 40.710063, -73.78440999999999 40.710277, -73.78445599999999 40.710373, -73.78472099999999 40.710922, -73.78502899999999 40.711571, -73.785353 40.712284))",36081046800,22486.61,402616.0,707.5899999999999,-0.31189638793828656,-0.05950471739840152,-1003,-569,994,7739.0,-1015,-141,276.0,-10786.39,-234640.0,-289.3499999999999,0.29933748258607895,-557,3176,54,-27575.0,901,107,-0.7000000000000002,-2.8999999999999995,-4.799999999999999,-38.6,-7.2,2.5,-2.5,False,0,1023.7800000000034,-123622.8,-14.071999999999917,-0.004475732056619582,-728.0,675.8000000000001,-3.0,-859.5999999999999,104.80000000000001,66.8,0.6961628296149736
9,36,081,046900,36081046900,469,Census Tract 469,G5020,S,151385,0,+40.7451965,-073.8771845,"POLYGON ((-73.880337 40.742534, -73.879811 40.743104, -73.87925 40.743757, -73.878784 40.744361, -73.87831899999999 40.744965, -73.877904 40.74559, -73.87753599999999 40.746222, -73.87715899999999 40.746865, -73.876789 40.747511, -73.876418 40.748141, -73.87625199999999 40.748439, -73.875552 40.748514, -73.875423 40.748528, -73.874629 40.748614, -73.873983 40.748686, -73.873701 40.748717, -73.87330299999999 40.748758, -73.873513 40.748468, -73.87397799999999 40.747865, -73.874442 40.747262, -73.87489599999999 40.74666999999999, -73.875362 40.746066, -73.875827 40.745461, -73.876282 40.744869, -73.876746 40.744265, -73.877211 40.743661, -73.87768299999999 40.743061, -73.878242 40.742397, -73.878479 40.742151, -73.87886 40.741746, -73.879175 40.741625, -73.88027799999999 40.741297, -73.88100399999999 40.741841, -73.880337 40.742534))",36081046900,-2241.489999999998,27946.0,368.75,-0.03629802238612945,0.10117821086738124,-1700,7006,2451,-3459.0,1739,218,709.0,-4514.07,48864.0,-166.1099999999999,-0.007531111874864632,-1926,-446,-64,-458.0,-748,-51,6.3,-2.8000000000000007,2.5999999999999996,-14.500000000000002,-3.6999999999999997,4.4,1.0,False,0,-4023.949999999997,-213062.5,-111.53249999999991,0.09193617151340652,-85.75,1254.0,42.25,-7538.5,595.75,103.5,0.6614208788750958
